Designator,Mid X,Mid Y,Rotation,Layer
A1,352.385601,-40.957544,0.0,top
C1,60.279739,-52.387544,0.0,bottom
C10,312.097138,-64.293804,0.0,bottom
C2,69.651621,-80.962568,0.0,bottom
C3,131.717299,-92.868828,0.0,bottom
C4,198.834542,-68.460995,270.0,bottom
C5,269.676789,-75.604751,0.0,bottom
C6,31.551589,-33.337528,180.0,bottom
C7,195.262664,-46.876601,270.0,bottom
C8,122.039165,-52.387544,0.0,bottom
C9,285.903366,-29.170337,0.0,bottom
D1,51.792231,-22.621894,90.0,bottom
D10,223.242375,-22.621894,90.0,bottom
D100,242.887704,-48.220353,0.0,bottom
D101,261.93772,-48.220353,0.0,bottom
D102,280.9875,-48.220353,0.0,bottom
D103,304.204943,-48.220353,0.0,bottom
D104,328.017463,-48.220353,0.0,bottom
D105,328.017463,-67.270369,180.0,bottom
D106,296.465874,-67.270369,180.0,bottom
D107,265.509598,-67.270369,180.0,bottom
D108,246.459582,-67.270369,180.0,bottom
D109,227.409566,-67.270369,180.0,bottom
D11,242.292391,-22.621894,90.0,bottom
D110,208.35955,-67.270369,180.0,bottom
D111,189.309534,-67.270369,180.0,bottom
D112,170.259518,-67.270369,180.0,bottom
D113,151.232937,-67.270369,180.0,bottom
D115,132.159486,-67.270369,180.0,bottom
D116,113.10947,-67.270369,180.0,bottom
D117,94.059454,-67.270369,180.0,bottom
D118,75.009438,-67.270369,180.0,bottom
D119,49.410979,-67.270369,180.0,bottom
D12,261.342407,-22.621894,90.0,bottom
D120,23.217207,-67.270369,180.0,bottom
D121,23.81252,-86.320385,0.0,bottom
D122,54.173483,-86.320385,0.0,bottom
D123,84.534446,-86.320385,0.0,bottom
D124,103.584462,-86.320385,0.0,bottom
D125,122.634478,-86.320385,0.0,bottom
D126,141.684494,-86.320385,0.0,bottom
D127,160.73451,-86.320385,0.0,bottom
D128,179.784526,-86.320385,0.0,bottom
D129,198.834542,-86.320385,0.0,bottom
D13,280.392423,-22.621894,90.0,bottom
D130,217.884558,-86.320385,0.0,bottom
D131,236.934574,-86.320385,0.0,bottom
D132,255.98459,-86.320385,0.0,bottom
D133,281.583049,-86.320385,0.0,bottom
D134,307.776821,-86.320385,0.0,bottom
